accession_version	isolate	locus	primary_accession
6ATK_F		6ATK_F	6ATK_F
6ATK_D		6ATK_D	6ATK_D
6ATK_E		6ATK_E	6ATK_E
WP_138316159.1		WP_138316159	WP_138316159
WP_138315283.1		WP_138315283	WP_138315283
WP_138275038.1		WP_138275038	WP_138275038
6NB8_L		6NB8_L	6NB8_L
6NB8_H		6NB8_H	6NB8_H
6NB5_M		6NB5_M	6NB5_M
6NB5_I		6NB5_I	6NB5_I
6NB5_L		6NB5_L	6NB5_L
6NB5_H		6NB5_H	6NB5_H
6BFU_C		6BFU_C	6BFU_C
6BFU_B		6BFU_B	6BFU_B
6BFU_A		6BFU_A	6BFU_A
6B3O_C		6B3O_C	6B3O_C
6B3O_B		6B3O_B	6B3O_B
6B3O_A		6B3O_A	6B3O_A
5W9P_L		5W9P_L	5W9P_L
5W9P_K		5W9P_K	5W9P_K
5W9P_I		5W9P_I	5W9P_I
5W9P_H		5W9P_H	5W9P_H
5W9P_E		5W9P_E	5W9P_E
5W9P_D		5W9P_D	5W9P_D
5W9P_C		5W9P_C	5W9P_C
5W9P_B		5W9P_B	5W9P_B
5W9P_G		5W9P_G	5W9P_G
5W9P_F		5W9P_F	5W9P_F
5W9P_A		5W9P_A	5W9P_A
5W9P_J		5W9P_J	5W9P_J
5W9O_L		5W9O_L	5W9O_L
5W9O_K		5W9O_K	5W9O_K
5W9O_J		5W9O_J	5W9O_J
5W9O_I		5W9O_I	5W9O_I
5W9O_H		5W9O_H	5W9O_H
5W9O_G		5W9O_G	5W9O_G
5W9O_F		5W9O_F	5W9O_F
5W9O_E		5W9O_E	5W9O_E
5W9O_D		5W9O_D	5W9O_D
5W9O_C		5W9O_C	5W9O_C
5W9O_B		5W9O_B	5W9O_B
5W9O_A		5W9O_A	5W9O_A
WP_092735150.1		WP_092735150	WP_092735150
5SZS_C		5SZS_C	5SZS_C
5SZS_B		5SZS_B	5SZS_B
5SZS_A		5SZS_A	5SZS_A
WP_060832594.1		WP_060832594	WP_060832594
WP_060474247.1		WP_060474247	WP_060474247
WP_059384079.1		WP_059384079	WP_059384079
WP_058336852.1		WP_058336852	WP_058336852
WP_056702603.1		WP_056702603	WP_056702603
WP_052911350.1		WP_052911350	WP_052911350
WP_052217162.1		WP_052217162	WP_052217162
WP_050826555.1		WP_050826555	WP_050826555
WP_049354204.1		WP_049354204	WP_049354204
WP_048695247.1		WP_048695247	WP_048695247
WP_048003538.1		WP_048003538	WP_048003538
WP_046344363.1		WP_046344363	WP_046344363
WP_044895101.1		WP_044895101	WP_044895101
WP_041507690.1		WP_041507690	WP_041507690
WP_039093384.1		WP_039093384	WP_039093384
WP_025207884.1		WP_025207884	WP_025207884
WP_024719703.1		WP_024719703	WP_024719703
4KTE_L		4KTE_L	4KTE_L
4KTE_H		4KTE_H	4KTE_H
WP_014937882.1		WP_014937882	WP_014937882
WP_011627445.1		WP_011627445	WP_011627445
3U7Y_G		3U7Y_G	3U7Y_G
NP_999442.1		NP_999442	NP_999442
QHA24724.1	CHB0025	QHA24724	QHA24724
QHA24718.1	161454	QHA24718	QHA24718
QHA24710.1	160942	QHA24710	QHA24710
QHA24703.1	160660	QHA24703	QHA24703
QHA24696.1	HK140714	QHA24696	QHA24696
QHA24687.1	BY140568	QHA24687	QHA24687
QHA24678.1	GZ131656	QHA24678	QHA24678
QHA24671.1	6610	QHA24671	QHA24671
QHA24665.1	5425	QHA24665	QHA24665
NP_001358344.1		NP_001358344	NP_001358344
WP_012410609.1		WP_012410609	WP_012410609
WP_012281058.1		WP_012281058	WP_012281058
WP_011614024.1		WP_011614024	WP_011614024
P15145.4		AMPN_PIG	P15145
WP_000748028.1		WP_000748028	WP_000748028
NP_068576.1		NP_068576	NP_068576
NP_000607.1		NP_000607	NP_000607
NP_001009252.2		NP_001009252	NP_001009252
QGZ19882.1	A1904641.001	QGZ19882	QGZ19882
Q1A243.1		ENV_SIVEK	Q1A243
P12492.1		ENV_SIVS4	P12492
P05885.1		ENV_SIVM1	P05885
QGY72123.1	BCoV/CH/HB-BD/2019	QGY72123	QGY72123
P0DOK0.1		POLSF_SINDV	P0DOK0
P0DOK1.1		POLSF_CHIKS	P0DOK1
P0DOF9.1		NRAM_I72A8	P0DOF9
P0DOF6.1		NRAM_I72A2	P0DOF6
P79143.2		AMPN_CANLF	P79143
P0DJZ6.1		POLSF_SFV	P0DJZ6
D8V075.1		GLYCO_TIBVC	D8V075
A7WNB3.1		GLYCO_DMSVA	A7WNB3
P31614.2		HEMA_CVMS	P31614
Q925P2.3		CEAM2_MOUSE	Q925P2
Q8JUX5.3		POLS_CHIKS	Q8JUX5
A3KF10.1		NRAM_I56A1	A3KF10
A3DRP3.1		NRAM_I96A2	A3DRP3
A4GCK0.1		NRAM_I80AA	A4GCK0
A4GBY0.1		NRAM_I77AA	A4GBY0
A8C8W6.1		NRAM_I67A2	A8C8W6
B3EUQ9.1		NRAM_I61A1	B3EUQ9
A4K146.1		NRAM_I54A2	A4K146
A4U7A9.1		NRAM_I51A0	A4U7A9
A4U6V5.1		NRAM_I45A0	A4U6V5
A4GCL1.1		NRAM_I43A0	A4GCL1
A4GCI9.1		NRAM_I36A0	A4GCI9
A4GCM2.1		NRAM_I35A3	A4GCM2
A8C8J7.1		NRAM_I07A0	A8C8J7
B4URD9.1		NRAM_I06A0	B4URD9
Q809V0.2		NRAM_I01A0	Q809V0
Q809U7.2		NRAM_I01A3	Q809U7
Q6DPI6.2		NRAM_I02A7	Q6DPI6
Q6DPJ8.2		NRAM_I02A6	Q6DPJ8
Q6J8D5.2		NRAM_I02A5	Q6J8D5
Q6DPJ9.2		NRAM_I02A4	Q6DPJ9
Q6DPK0.2		NRAM_I02A3	Q6DPK0
Q6DPK1.2		NRAM_I02A2	Q6DPK1
Q809V4.2		NRAM_I01A1	Q809V4
Q9EA42.2		NRAM_I77A4	Q9EA42
P15199.2		GLYCO_RABVA	P15199
P0C572.1		GLYCO_MOKV	P0C572
A3RM22.1		GLYCO_RABVI	A3RM22
Q0ZME8.1		HEMA_CVHN5	Q0ZME8
A4UHQ6.1		GLYCO_EBLV2	A4UHQ6
A4UHQ1.1		GLYCO_EBLV1	A4UHQ1
P11267.2		ENV_SIVML	P11267
P13180.2		GLYCO_CHAV	P13180
P03469.2		NRAM_I77AB	P03469
Q07585.2		NRAM_I78AC	Q07585
P03468.2		NRAM_I34A1	P03468
P03475.2		NRAM_I72A3	P03475
Q1K9Q1.2		NRAM_I57A0	Q1K9Q1
Q07572.2		NRAM_I80A6	Q07572
P03480.2		NRAM_I49A1	P03480
P09573.2		NRAM_I83A6	P09573
P15144.4		AMPN_HUMAN	P15144
P03476.2		NRAM_I71A2	P03476
P03471.2		NRAM_I71A1	P03471
P03477.2		NRAM_I68A3	P03477
Q0HD57.1		NRAM_I40A0	Q0HD57
Q14EB1.1		HEMA_CVHN2	Q14EB1
Q0GBY1.1		GLYCO_RABVR	Q0GBY1
Q0GBX6.1		GLYCO_RABVD	Q0GBX6
Q76WJ1.1		NRAM_I76A7	Q76WJ1
Q3LZX7.1		NS7A_BCHK3	Q3LZX7
Q38SQ5.1		NRAM_I83A8	Q38SQ5
Q30NP8.1		NRAM_I75A0	Q30NP8
Q2VNF0.1		NRAM_I78A7	Q2VNF0
Q2VND0.1		NRAM_I78A8	Q2VND0
Q2VC95.1		NRAM_I80A2	Q2VC95
Q2RFA3.1		NRAM_I76A6	Q2RFA3
Q2RCH3.1		NRAM_I80A4	Q2RCH3
Q2LFV4.1		NRAM_I05A1	Q2LFV4
Q2ICQ7.1		NRAM_I72A4	Q2ICQ7
Q289M4.1		NRAM_I00A1	Q289M4
Q20NV8.1		NRAM_I80AD	Q20NV8
Q20NP0.1		NRAM_I80A8	Q20NP0
Q1PUD6.1		NRAM_I73A5	Q1PUD6
Q0Q470.1		NS7A_BC279	Q0Q470
Q0A456.1		NRAM_I66A1	Q0A456
Q0A2R1.1		NRAM_I85A3	Q0A2R1
Q0A2I4.1		NRAM_I83A5	Q0A2I4
Q0A2G2.1		NRAM_I83A4	Q0A2G2
Q07FI2.1		NRAM_I96A3	Q07FI2
Q14B80.1		KCNC2_MOUSE	Q14B80
Q2UXF7.1		6FEH_WHEAT	Q2UXF7
P18507.2		GBRG2_HUMAN	P18507
Q1A261.1		ENV_SIVMB	Q1A261
P08564.3		POLS_RUBVV	P08564
P19725.2		POLS_RUBVR	P19725
P09592.2		POLS_EEVVT	P09592
P89946.2		POLS_BFV	P89946
Q9QBZ4.2		ENV_HV1MP	Q9QBZ4
Q9QBZ0.2		ENV_HV1M2	Q9QBZ0
Q9QBZ8.2		ENV_HV197	Q9QBZ8
Q9QBY2.2		ENV_HV196	Q9QBY2
P08563.2		POLS_RUBVM	P08563
Q306W7.1		POLS_EEEV8	Q306W7
Q306W5.1		POLS_EEEV1	Q306W5
P08810.2		ENV_SIVM2	P08810
P0C0W0.1		HEMA_BRV2	P0C0W0
P0C0V9.1		HEMA_BRV1	P0C0V9
P03470.2		NRAM_I33A0	P03470
Q9W7Y7.2		NRAM_I97A1	Q9W7Y7
Q3I5J0.1		NS7A_BCRP3	Q3I5J0
Q4QXJ7.1		POLS_EEEVF	Q4QXJ7
Q9JGK8.1		POLS_SAGV	Q9JGK8
Q9IGQ0.1		NRAM_I76AI	Q9IGQ0
Q8QZ72.1		POLS_MAYAB	Q8QZ72
Q8QL52.1		POLS_SLDV	Q8QL52
Q8JJX0.1		POLS_SPDV	Q8JJX0
Q86925.2		POLS_AURAV	Q86925
Q80S27.1		POLS_MIDDV	Q80S27
Q6X1D5.1		GLYCO_ARAV	Q6X1D5
Q6X1D1.1		GLYCO_KHUV	Q6X1D1
Q6DPK2.1		NRAM_I02A1	Q6DPK2
Q6DPH9.1		NRAM_I03A1	Q6DPH9
Q5Y388.1		POLS_GETV	Q5Y388
Q5XXP3.1		POLS_CHIK3	Q5XXP3
Q5WQY5.1		POLS_CHIKN	Q5WQY5
O90371.1		POLS_ONNVI	O90371
O90369.1		POLS_ONNVS	O90369
Q4VKV3.1		GLYCO_TUPVT	Q4VKV3
Q9WAA1.1		NRAM_I97A0	Q9WAA1
Q9Q0U7.1		NRAM_I96A0	Q9Q0U7
Q9IGQ6.1		NRAM_I18A0	Q9IGQ6
Q91MA2.1		NRAM_I68A4	Q91MA2
Q8QPK2.1		NRAM_I00A0	Q8QPK2
Q8JSD9.1		NRAM_I47A0	Q8JSD9
Q809V2.1		NRAM_I01A2	Q809V2
Q75VQ4.1		NRAM_I68A0	Q75VQ4
Q75VQ0.1		NRAM_I77AH	Q75VQ0
Q710U6.1		NRAM_I59A0	Q710U6
Q6XV52.1		NRAM_I61A0	Q6XV52
Q6XV43.1		NRAM_I79A7	Q6XV43
Q6XV28.1		NRAM_I77AG	Q6XV28
Q6XV27.1		NRAM_I56A2	Q6XV27
Q6XV26.1		NRAM_I76AK	Q6XV26
Q6XV24.1		NRAM_I84A4	Q6XV24
Q6XV23.1		NRAM_I77AF	Q6XV23
Q6XUE4.1		NRAM_I57A5	Q6XUE4
Q6XUD6.1		NRAM_I60A0	Q6XUD6
Q6XUA7.1		NRAM_I68A5	Q6XUA7
Q6XTN2.1		NRAM_I69A0	Q6XTN2
Q6XTM7.1		NRAM_I70A0	Q6XTM7
Q6TXB9.1		NRAM_I85A5	Q6TXB9
Q6J8E4.1		NRAM_I03A0	Q6J8E4
Q67344.1		NRAM_I82A7	Q67344
Q67214.1		NRAM_I57A2	Q67214
Q67212.2		NRAM_I57A1	Q67212
Q64968.1		NRAM_I34A0	Q64968
Q5VKP3.1		GLYCO_IRKV	Q5VKP3
Q5VKN9.1		GLYCO_WCBV	Q5VKN9
P88838.1		NRAM_I56A3	P88838
Q85213.1		GLYCO_PIRYV	Q85213
Q9QSP1.1		GLYCO_ABLVB	Q9QSP1
Q9QJT6.1		GLYCO_SHRV	Q9QJT6
Q9Q9G3.1		HEMA_HUTV	Q9Q9G3
Q9J6K8.1		POLS_RUBVD	Q9J6K8
Q9IPJ6.1		GLYCO_RABVN	Q9IPJ6
Q99IE6.1		POLS_RUBVO	Q99IE6
Q91DS0.1		GLYCO_SVCV	Q91DS0
Q91C28.1		GLYCO_DUVV	Q91C28
Q8VA10.1		POLS_RUBVN	Q8VA10
Q8JTH0.1		GLYCO_ABLVH	Q8JTH0
Q8BDV6.1		GLYCO_LBV	Q8BDV6
Q8B0I1.1		GLYCO_VSIVN	Q8B0I1
Q8B0H6.1		GLYCO_VSIVS	Q8B0H6
Q8B0H1.1		GLYCO_VSIVC	Q8B0H1
Q89669.1		GLYCO_ARV	Q89669
Q66T62.1		GLYCO_RABVB	Q66T62
Q5K2K4.1		GLYCO_ISFV	Q5K2K4
Q595Z2.1		NRAM_I63A1	Q595Z2
Q5MQD1.1		HEMA_CVHN1	Q5MQD1
O92284.1		GLYCO_RABVC	O92284
O56677.1		GLYCO_COCAV	O56677
Q6PHS9.1		CA2D2_MOUSE	Q6PHS9
Q9WC69.1		ENV_HV1S9	Q9WC69
Q9WC60.1		ENV_HV1S2	Q9WC60
Q9QSQ7.1		ENV_HV1VI	Q9QSQ7
Q9Q714.1		ENV_HV1V9	Q9Q714
Q9IDV2.1		ENV_HV1YB	Q9IDV2
Q8AIH5.1		ENV_SIVTN	Q8AIH5
Q89607.1		ENV_HV2EH	Q89607
Q79670.1		ENV_HV1MV	Q79670
Q77377.1		ENV_HV1AN	Q77377
Q76638.1		ENV_HV2UC	Q76638
Q75008.1		ENV_HV1ET	Q75008
Q73372.2		ENV_HV1B9	Q73372
O91086.1		ENV_HV1YF	O91086
O89292.1		ENV_HV193	O89292
O70902.1		ENV_HV190	O70902
O41803.1		ENV_HV19N	O41803
O12164.1		ENV_HV192	O12164
Q82706.1		GLYCO_IHNVO	Q82706
Q82683.1		GLYCO_IHNVW	Q82683
Q77SK0.1		GLYCO_HIRRV	Q77SK0
Q70KP1.1		HEMA_PTV10	Q70KP1
Q6X2U3.1		POLS_RUBVB	Q6X2U3
Q6X2U1.1		POLS_RUBVC	Q6X2U1
Q9BRK3.1		MXRA8_HUMAN	Q9BRK3
Q96PR1.1		KCNC2_HUMAN	Q96PR1
Q6UXB4.1		CLC4G_HUMAN	Q6UXB4
Q9BYF1.2		ACE2_HUMAN	Q9BYF1
Q5EGZ1.1		ACE2_RAT	Q5EGZ1
P05769.2		POLG_MVEV5	P05769
P67923.1		NRAM_INBLN	P67923
P67907.1		NRAM_INBME	P67907
Q9NNX6.1		CD209_HUMAN	Q9NNX6
Q9H2X3.1		CLC4M_HUMAN	Q9H2X3
P59709.1		HEMA_CVBQ	P59709
Q9QAR6.1		HEMA_CVBLS	Q9QAR6
Q9QAQ9.1		HEMA_CVBOK	Q9QAQ9
Q9IKD2.1		HEMA_CVRSD	Q9IKD2
Q9DR81.1		HEMA_CVBON	Q9DR81
Q8V437.1		HEMA_CVBLU	Q8V437
Q8JSP9.1		HEMA_CVPIA	Q8JSP9
Q8BB26.1		HEMA_CVP67	Q8BB26
Q66165.2		HEMA_CVBG9	Q66165
P59711.1		HEMA_CVBEN	P59711
P59710.1		HEMA_CVBL9	P59710
O92367.1		HEMA_CVMDV	O92367
O91262.1		HEMA_CVPV	O91262
P59635.1		NS7A_CVHSA	P59635
P59632.1		AP3A_CVHSA	P59632
P14867.3		GBRA1_HUMAN	P14867
O95180.4		CAC1H_HUMAN	O95180
P08491.3		POLS_RRVT	P08491
P78536.1		ADA17_HUMAN	P78536
Q12879.1		NMDE1_HUMAN	Q12879
O88602.1		CCG2_MOUSE	O88602
O91745.1		NRAM_I96A1	O91745
O91744.1		NRAM_I93A0	O91744
P31615.2		HEMA_CVMA5	P31615
P04578.2		ENV_HV1H2	P04578
Q90021.1		NRAM_INBYB	Q90021
Q83356.1		HEMA_CVMJH	Q83356
Q70626.1		ENV_HV1LW	Q70626
P79171.3		AMPN_FELCA	P79171
Q74126.1		ENV_HV2KR	Q74126
P06820.2		NRAM_I67A0	P06820
P07923.2		GLYCO_IHNVR	P07923
P20872.2		ENV_HV2ST	P20872
P15831.2		ENV_HV2D2	P15831
P04624.3		ENV_HV1H3	P04624
P27487.2		DPP4_HUMAN	P27487
P09613.2		GP_UUKS	P09613
Q08089.1		GLYCO_RABVV	Q08089
Q09106.1		NRAM_I78AB	Q09106
Q07584.1		NRAM_I65A0	Q07584
Q07583.1		NRAM_I90A1	Q07583
Q07582.1		NRAM_I86A3	Q07582
Q07581.1		NRAM_I69A2	Q07581
Q09105.1		NRAM_I76AB	Q09105
Q09104.1		NRAM_I76A9	Q09104
Q07580.1		NRAM_I79A6	Q07580
Q07579.1		NRAM_I63A2	Q07579
Q07578.1		NRAM_I89A7	Q07578
Q07577.1		NRAM_I88A4	Q07577
Q07576.1		NRAM_I72A0	Q07576
Q07575.1		NRAM_I91A0	Q07575
Q07574.1		NRAM_I84A0	Q07574
Q07573.1		NRAM_I74A2	Q07573
Q07571.1		NRAM_I72A1	Q07571
Q07570.1		NRAM_I88A1	Q07570
Q07599.1		NRAM_I63A3	Q07599
P36332.1		POLS_EEVVP	P36332
P36331.1		POLS_EEVVM	P36331
P36330.1		POLS_EEVVE	P36330
P36329.1		POLS_EEVV3	P36329
P35961.1		ENV_HV1Y2	P35961
P33468.1		HEMA_CVBF	P33468
P32550.1		GLYCO_RABVT	P32550
P32595.1		GLYCO_BEFVB	P32595
P32536.1		ENV_HV2S2	P32536
P31510.1		NRAM_I85A8	P31510
P31349.1		NRAM_I54A0	P31349
P31348.1		NRAM_I79A4	P31348
P31613.1		HEMA_CVBLY	P31613
Q02837.1		ENV_SIVG1	Q02837
P31872.1		ENV_HV1W1	P31872
P31819.1		ENV_HV1KB	P31819
P31809.1		CEAM1_MOUSE	P31809
P30215.1		HEMA_CVHOC	P30215
P16287.1		MATRX_RABVS	P16287
P09991.1		GLYC_LYCVA	P09991
P08669.1		GLYC_LASSJ	P08669
P03522.1		GLYCO_VSIVA	P03522
P04884.1		GLYCO_VSIVO	P04884
P04882.1		GLYCO_VSNJO	P04882
P04883.1		GLYCO_VSIVG	P04883
P27662.1		GLYCO_VHSV0	P27662
P27277.1		GLYCO_SYNV	P27277
P12647.1		GLYCO_SIGMA	P12647
P16288.1		GLYCO_RABVS	P16288
P08667.1		GLYCO_RABVP	P08667
P19462.1		GLYCO_RABVH	P19462
P03524.1		GLYCO_RABVE	P03524
P13897.1		POLS_WEEV	P13897
P03316.1		POLS_SINDV	P03316
P27285.1		POLS_SINDO	P27285
P03315.1		POLS_SFV	P03315
P07566.1		POLS_RUBVT	P07566
P13890.1		POLS_RRVN	P13890
P17517.1		POLS_RRV2	P17517
P22056.1		POLS_ONNVG	P22056
P05674.1		POLS_EEVV8	P05674
P27284.1		POLS_EEEV3	P27284
P08768.1		POLS_EEEV	P08768
P16207.1		NRAM_INBVI	P16207
P16205.1		NRAM_INBUS	P16205
P16203.1		NRAM_INBSI	P16203
P16201.1		NRAM_INBOR	P16201
P16199.1		NRAM_INBMF	P16199
P16195.1		NRAM_INBMD	P16195
P03474.1		NRAM_INBLE	P03474
P16191.1		NRAM_INBHK	P16191
P27907.1		NRAM_INBBE	P27907
P05803.1		NRAM_I84A1	P05803
P03482.1		NRAM_I75A3	P03482
P03472.1		NRAM_I75A5	P03472
P03478.2		NRAM_I72A5	P03478
P03484.1		NRAM_I57A4	P03484
P06819.1		NRAM_I73A0	P06819
P03473.1		NRAM_I68A6	P03473
P08326.1		NRAM_I81A2	P08326
P08327.1		NRAM_I74A1	P08327
P18881.1		NRAM_I000F	P18881
P03479.1		NRAM_I76A1	P03479
P09574.1		NRAM_I83A7	P09574
P11485.1		NRAM_I83A1	P11485
P26143.1		NRAM_I82A2	P26143
P03481.1		NRAM_I78A0	P03481
P06818.1		NRAM_I79A0	P06818
P05981.1		HEPS_HUMAN	P05981
P15776.1		HEMA_CVBM	P15776
P28472.1		GBRB3_HUMAN	P28472
P19503.1		ENV_SIVSP	P19503
P05884.1		ENV_SIVMK	P05884
P22380.1		ENV_SIVGB	P22380
P17281.1		ENV_SIVCZ	P17281
P05886.1		ENV_SIVVT	P05886
P27977.1		ENV_SIVVG	P27977
P27757.1		ENV_SIVV1	P27757
P04577.1		ENV_HV2RO	P04577
P05883.1		ENV_HV2NZ	P05883
P12449.1		ENV_HV2SB	P12449
P18040.1		ENV_HV2G1	P18040
P24105.1		ENV_HV2CA	P24105
P18094.1		ENV_HV2BE	P18094
P17755.2		ENV_HV2D1	P17755
P04580.1		ENV_HV1Z6	P04580
P05880.1		ENV_HV1W2	P05880
P19551.1		ENV_HV1MF	P19551
P05878.1		ENV_HV1SC	P05878
P04579.1		ENV_HV1RH	P04579
P20888.1		ENV_HV1OY	P20888
P04583.1		ENV_HV1MA	P04583
P05877.1		ENV_HV1MN	P05877
P18799.1		ENV_HV1ND	P18799
P12489.1		ENV_HV1J3	P12489
P12488.1		ENV_HV1BN	P12488
P05881.1		ENV_HV1ZH	P05881
P19550.1		ENV_HV1S1	P19550
P19549.1		ENV_HV1S3	P19549
P04581.1		ENV_HV1EL	P04581
P20871.1		ENV_HV1JR	P20871
P05879.1		ENV_HV1C4	P05879
P03377.1		ENV_HV1BR	P03377
P03378.1		ENV_HV1A2	P03378
P04582.1		ENV_HV1B8	P04582
P12487.1		ENV_HV1Z2	P12487
P05882.1		ENV_HV1Z8	P05882
P03375.1		ENV_HV1B1	P03375
P22462.1		KCNC2_RAT	P22462
QGX07410.1	GA/1476/2015	QGX07410	QGX07410
QGW67491.1	Ranjbar-Alborz	QGW67491	QGW67491
QGW67490.1	Ranjbar-Ghoom56	QGW67490	QGW67490
QGW67489.1	Ranjbar-Eslamshahr	QGW67489	QGW67489
QGW67488.1	Ranjbar-Alborz41	QGW67488	QGW67488
QGW67487.1	Ranjbar-Ghazvin19	QGW67487	QGW67487
6QD7_E		6QD7_E	6QD7_E
6QD7_C		6QD7_C	6QD7_C
6QD7_A		6QD7_A	6QD7_A
6U7K_C		6U7K_C	6U7K_C
6U7K_B		6U7K_B	6U7K_B
6U7K_A		6U7K_A	6U7K_A
6NK7_X		6NK7_X	6NK7_X
6NK7_W		6NK7_W	6NK7_W
6NK7_V		6NK7_V	6NK7_V
6NK7_U		6NK7_U	6NK7_U
6NK7_H		6NK7_H	6NK7_H
6NK7_G		6NK7_G	6NK7_G
6NK7_F		6NK7_F	6NK7_F
6NK7_E		6NK7_E	6NK7_E
6NK7_D		6NK7_D	6NK7_D
6NK7_C		6NK7_C	6NK7_C
6NK7_B		6NK7_B	6NK7_B
6NK7_A		6NK7_A	6NK7_A
6NK6_H		6NK6_H	6NK6_H
6NK6_D		6NK6_D	6NK6_D
6NK6_G		6NK6_G	6NK6_G
6NK6_C		6NK6_C	6NK6_C
6NK6_F		6NK6_F	6NK6_F
6NK6_B		6NK6_B	6NK6_B
6NK6_E		6NK6_E	6NK6_E
6NK6_A		6NK6_A	6NK6_A
6NK5_H		6NK5_H	6NK5_H
6NK5_D		6NK5_D	6NK5_D
6NK5_G		6NK5_G	6NK5_G
6NK5_C		6NK5_C	6NK5_C
6NK5_F		6NK5_F	6NK5_F
6NK5_B		6NK5_B	6NK5_B
6NK5_E		6NK5_E	6NK5_E
6NK5_A		6NK5_A	6NK5_A
6MET_B		6MET_B	6MET_B
6MET_A		6MET_A	6MET_A
6MET_G		6MET_G	6MET_G
6MEO_B		6MEO_B	6MEO_B
6MEO_A		6MEO_A	6MEO_A
6MEO_G		6MEO_G	6MEO_G
6CV0_C		6CV0_C	6CV0_C
6CV0_B		6CV0_B	6CV0_B
6CV0_A		6CV0_A	6CV0_A
6CS2_D		6CS2_D	6CS2_D
6CS2_C		6CS2_C	6CS2_C
6CS2_B		6CS2_B	6CS2_B
6CS2_A		6CS2_A	6CS2_A
6CS1_A		6CS1_A	6CS1_A
6CS1_C		6CS1_C	6CS1_C
6CS1_B		6CS1_B	6CS1_B
6CS0_C		6CS0_C	6CS0_C
6CS0_B		6CS0_B	6CS0_B
6CS0_A		6CS0_A	6CS0_A
6CRZ_C		6CRZ_C	6CRZ_C
6CRZ_B		6CRZ_B	6CRZ_B
6CRZ_A		6CRZ_A	6CRZ_A
6CRX_A		6CRX_A	6CRX_A
6CRX_C		6CRX_C	6CRX_C
6CRX_B		6CRX_B	6CRX_B
6CRW_C		6CRW_C	6CRW_C
6CRW_B		6CRW_B	6CRW_B
6CRW_A		6CRW_A	6CRW_A
6CRV_C		6CRV_C	6CRV_C
6CRV_B		6CRV_B	6CRV_B
6CRV_A		6CRV_A	6CRV_A
5I08_C		5I08_C	5I08_C
5I08_B		5I08_B	5I08_B
5I08_A		5I08_A	5I08_A
QGW51941.1	109	QGW51941	QGW51941
QGW51940.1	81	QGW51940	QGW51940
QGW51939.1	14	QGW51939	QGW51939
QGW51938.1	03	QGW51938	QGW51938
QGW51920.1	Hu/Riyadh-KSA-18013832/2018	QGW51920	QGW51920
