accession_version	isolate	locus	primary_accession
QFS19620.1	SPC00243	QFS19620	QFS19620
QFS19619.1	SPC00222	QFS19619	QFS19619
QFS19618.1	SPC00161	QFS19618	QFS19618
QFS19617.1	MAK26	QFS19617	QFS19617
QFS19616.1	MAK38	QFS19616	QFS19616
QFS19615.1	B5-2	QFS19615	QFS19615
QFS19614.1	MAK33	QFS19614	QFS19614
QFS19613.1	MAK25	QFS19613	QFS19613
QFS19612.1	MAK34	QFS19612	QFS19612
QFS19611.1	SPC00638	QFS19611	QFS19611
QFS19610.1	B7-26	QFS19610	QFS19610
QFS19609.1	MAK37	QFS19609	QFS19609
QFS19608.1	MAK36	QFS19608	QFS19608
QFS19607.1	MAK35	QFS19607	QFS19607
QFS19606.1	MAK21	QFS19606	QFS19606
QFS19605.1	MAK3	QFS19605	QFS19605
QFS19604.1	B7-26-5	QFS19604	QFS19604
QFS19603.1	MAK29	QFS19603	QFS19603
QFS19602.1	MAK5	QFS19602	QFS19602
QFS19601.1	SPC00218	QFS19601	QFS19601
QFS19600.1	SPC00624	QFS19600	QFS19600
QFS19599.1	SPC00625	QFS19599	QFS19599
QFS19598.1	SPC00633	QFS19598	QFS19598
QFS19597.1	SPC00743	QFS19597	QFS19597
QFS19596.1	SPC00382	QFS19596	QFS19596
QFS19595.1	SPC00413	QFS19595	QFS19595
QFS19594.1	SPC00424	QFS19594	QFS19594
QFS19593.1	SPC00443	QFS19593	QFS19593
QFS19592.1	SPC00441	QFS19592	QFS19592
QFS19591.1	SPC00440	QFS19591	QFS19591
QFS19590.1	SPC00416	QFS19590	QFS19590
QFS19589.1	SPC00438	QFS19589	QFS19589
QFS19588.1	SPC00256	QFS19588	QFS19588
QFS19587.1	SPC00749	QFS19587	QFS19587
QFS19586.1	DC00281	QFS19586	QFS19586
QFS19585.1	DC00272	QFS19585	QFS19585
QFS19584.1	DC00263	QFS19584	QFS19584
QFS19583.1	DC00292	QFS19583	QFS19583
QFS19582.1	DC00280	QFS19582	QFS19582
QFS19581.1	DC00264	QFS19581	QFS19581
QFS19580.1	DC00202	QFS19580	QFS19580
QFS19579.1	DC00341	QFS19579	QFS19579
QFS19578.1	DC00338	QFS19578	QFS19578
QFS19577.1	DC00287	QFS19577	QFS19577
QFS19576.1	DC00391	QFS19576	QFS19576
QFS19575.1	DC00261	QFS19575	QFS19575
QFS19574.1	DC00266	QFS19574	QFS19574
QFS19573.1	DC00247	QFS19573	QFS19573
QFS19572.1	DC00199	QFS19572	QFS19572
QFS19571.1	DC00102	QFS19571	QFS19571
QFS19570.1	DC00076	QFS19570	QFS19570
QFS19569.1	DC00070	QFS19569	QFS19569
QFS19568.1	DC00095	QFS19568	QFS19568
QFS19567.1	DC00100	QFS19567	QFS19567
QFS19566.1	DC00246	QFS19566	QFS19566
QFS19565.1	DC00143	QFS19565	QFS19565
QFS19564.1	DC00201	QFS19564	QFS19564
QFS19563.1	DC00118	QFS19563	QFS19563
5WKM_A		5WKM_A	5WKM_A
5WKL_A		5WKL_A	5WKL_A
5WKK_A		5WKK_A	5WKK_A
5WKJ_A		5WKJ_A	5WKJ_A
5W9P_I		5W9P_I	5W9P_I
5W9P_H		5W9P_H	5W9P_H
5W9P_C		5W9P_C	5W9P_C
5W9P_B		5W9P_B	5W9P_B
5W9P_A		5W9P_A	5W9P_A
5W9P_J		5W9P_J	5W9P_J
5W9O_L		5W9O_L	5W9O_L
5W9O_K		5W9O_K	5W9O_K
5W9O_J		5W9O_J	5W9O_J
5W9O_G		5W9O_G	5W9O_G
5W9O_D		5W9O_D	5W9O_D
5W9O_A		5W9O_A	5W9O_A
6PZ8_F		6PZ8_F	6PZ8_F
6PZ8_I		6PZ8_I	6PZ8_I
6PZ8_J		6PZ8_J	6PZ8_J
6PZ8_E		6PZ8_E	6PZ8_E
6PZ8_B		6PZ8_B	6PZ8_B
6PZ8_A		6PZ8_A	6PZ8_A
6PXH_B		6PXH_B	6PXH_B
6PXH_A		6PXH_A	6PXH_A
QGW51941.1	109	QGW51941	QGW51941
QGW51940.1	81	QGW51940	QGW51940
QGW51939.1	14	QGW51939	QGW51939
QGW51938.1	03	QGW51938	QGW51938
QGW51928.1	Hu/Riyadh-KSA-18013832/2018	QGW51928	QGW51928
QGW51927.1	Hu/Riyadh-KSA-18013832/2018	QGW51927	QGW51927
QGW51926.1	Hu/Riyadh-KSA-18013832/2018	QGW51926	QGW51926
QGW51925.1	Hu/Riyadh-KSA-18013832/2018	QGW51925	QGW51925
QGW51924.1	Hu/Riyadh-KSA-18013832/2018	QGW51924	QGW51924
QGW51923.1	Hu/Riyadh-KSA-18013832/2018	QGW51923	QGW51923
QGW51922.1	Hu/Riyadh-KSA-18013832/2018	QGW51922	QGW51922
QGW51921.1	Hu/Riyadh-KSA-18013832/2018	QGW51921	QGW51921
QGW51920.1	Hu/Riyadh-KSA-18013832/2018	QGW51920	QGW51920
QGW51919.1	Hu/Riyadh-KSA-18013832/2018	QGW51919	QGW51919
QGW51918.1	Hu/Riyadh-KSA-18013832/2018	QGW51918	QGW51918
QGW51917.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51917	QGW51917
QGW51916.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51916	QGW51916
QGW51915.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51915	QGW51915
QGW51914.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51914	QGW51914
QGW51913.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51913	QGW51913
QGW51912.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51912	QGW51912
QGW51911.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51911	QGW51911
QGW51910.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51910	QGW51910
QGW51909.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51909	QGW51909
QGW51908.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51908	QGW51908
QGW51907.1	Hu/Jeddah-KSA-173RS1570/2017	QGW51907	QGW51907
QGW51906.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51906	QGW51906
QGW51905.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51905	QGW51905
QGW51904.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51904	QGW51904
QGW51903.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51903	QGW51903
QGW51902.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51902	QGW51902
QGW51901.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51901	QGW51901
QGW51900.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51900	QGW51900
QGW51899.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51899	QGW51899
QGW51898.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51898	QGW51898
QGW51897.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51897	QGW51897
QGW51896.1	Hu/Jeddah-KSA-173RS1101/2017	QGW51896	QGW51896
6L8Q_H		6L8Q_H	6L8Q_H
6L8Q_F		6L8Q_F	6L8Q_F
6L8Q_D		6L8Q_D	6L8Q_D
6L8Q_B		6L8Q_B	6L8Q_B
6J2J_F		6J2J_F	6J2J_F
6J2J_C		6J2J_C	6J2J_C
6C6Z_B		6C6Z_B	6C6Z_B
6C6Z_A		6C6Z_A	6C6Z_A
5VYH_A		5VYH_A	5VYH_A
5W9N_J		5W9N_J	5W9N_J
5W9N_I		5W9N_I	5W9N_I
5W9N_H		5W9N_H	5W9N_H
5W9N_G		5W9N_G	5W9N_G
5W9N_D		5W9N_D	5W9N_D
5W9N_A		5W9N_A	5W9N_A
5W9M_J		5W9M_J	5W9M_J
5W9M_F		5W9M_F	5W9M_F
5W9M_E		5W9M_E	5W9M_E
5W9M_G		5W9M_G	5W9M_G
5W9M_D		5W9M_D	5W9M_D
5W9M_A		5W9M_A	5W9M_A
5W9L_J		5W9L_J	5W9L_J
5W9L_C		5W9L_C	5W9L_C
5W9L_B		5W9L_B	5W9L_B
5W9L_G		5W9L_G	5W9L_G
5W9L_D		5W9L_D	5W9L_D
5W9L_A		5W9L_A	5W9L_A
5W9K_L		5W9K_L	5W9K_L
5W9K_K		5W9K_K	5W9K_K
5W9K_J		5W9K_J	5W9K_J
5W9K_G		5W9K_G	5W9K_G
5W9K_D		5W9K_D	5W9K_D
5W9K_A		5W9K_A	5W9K_A
5W9J_L		5W9J_L	5W9J_L
5W9J_K		5W9J_K	5W9J_K
5W9J_J		5W9J_J	5W9J_J
5W9J_G		5W9J_G	5W9J_G
5W9J_A		5W9J_A	5W9J_A
5W9J_D		5W9J_D	5W9J_D
5W9I_J		5W9I_J	5W9I_J
5W9I_I		5W9I_I	5W9I_I
5W9I_F		5W9I_F	5W9I_F
5W9I_E		5W9I_E	5W9I_E
5W9I_B		5W9I_B	5W9I_B
5W9I_A		5W9I_A	5W9I_A
5W9H_RR		5W9H_RR	5W9H_RR
5W9H_QQ		5W9H_QQ	5W9H_QQ
5W9H_PP		5W9H_PP	5W9H_PP
5W9H_G		5W9H_G	5W9H_G
5W9H_D		5W9H_D	5W9H_D
5W9H_A		5W9H_A	5W9H_A
5KO3_A		5KO3_A	5KO3_A
4YLU_D		4YLU_D	4YLU_D
4YLU_C		4YLU_C	4YLU_C
4YLU_B		4YLU_B	4YLU_B
4YLU_A		4YLU_A	4YLU_A
QGV13494.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13494	QGV13494
QGV13493.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13493	QGV13493
QGV13492.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13492	QGV13492
QGV13491.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13491	QGV13491
QGV13490.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13490	QGV13490
QGV13489.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13489	QGV13489
QGV13488.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13488	QGV13488
QGV13487.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13487	QGV13487
QGV13486.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13486	QGV13486
QGV13485.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13485	QGV13485
QGV13484.1	Merscov/Egypt/Camel/AHRI-FAO-1/2018	QGV13484	QGV13484
QFQ59595.1	llama-passaged-Qatar15	QFQ59595	QFQ59595
QFQ59594.1	llama-passaged-Qatar15	QFQ59594	QFQ59594
QFQ59593.1	llama-passaged-Qatar15	QFQ59593	QFQ59593
QFQ59592.1	llama-passaged-Qatar15	QFQ59592	QFQ59592
QFQ59591.1	llama-passaged-Qatar15	QFQ59591	QFQ59591
QFQ59590.1	llama-passaged-Qatar15	QFQ59590	QFQ59590
QFQ59589.1	llama-passaged-Qatar15	QFQ59589	QFQ59589
QFQ59588.1	llama-passaged-Qatar15	QFQ59588	QFQ59588
QFQ59587.1	llama-passaged-Qatar15	QFQ59587	QFQ59587
QFQ59586.1	llama-passaged-Qatar15	QFQ59586	QFQ59586
QFQ59585.1	llama-passaged-Qatar15	QFQ59585	QFQ59585
5X59_C		5X59_C	5X59_C
5X59_B		5X59_B	5X59_B
5X59_A		5X59_A	5X59_A
QEU56412.1	1390-Hu-Jed	QEU56412	QEU56412
QEU56411.1	31-Cam-Jed	QEU56411	QEU56411
AZU90730.2	Qatar15	AZU90730	AZU90730
AZU90729.2	Qatar15	AZU90729	AZU90729
AZU90739.1	Qatar15	AZU90739	AZU90739
AZU90738.1	Qatar15	AZU90738	AZU90738
AZU90737.1	Qatar15	AZU90737	AZU90737
AZU90736.1	Qatar15	AZU90736	AZU90736
AZU90735.1	Qatar15	AZU90735	AZU90735
AZU90734.1	Qatar15	AZU90734	AZU90734
AZU90733.1	Qatar15	AZU90733	AZU90733
AZU90732.1	Qatar15	AZU90732	AZU90732
AZU90731.1	Qatar15	AZU90731	AZU90731
QEJ82234.1		QEJ82234	QEJ82234
QEJ82233.1		QEJ82233	QEJ82233
QEJ82232.1		QEJ82232	QEJ82232
QEJ82231.1		QEJ82231	QEJ82231
QEJ82230.1		QEJ82230	QEJ82230
QEJ82229.1		QEJ82229	QEJ82229
QEJ82228.1		QEJ82228	QEJ82228
QEJ82227.1		QEJ82227	QEJ82227
QEJ82226.1		QEJ82226	QEJ82226
QEJ82225.1		QEJ82225	QEJ82225
QEJ82224.1		QEJ82224	QEJ82224
QEJ82223.1		QEJ82223	QEJ82223
QEJ82222.1		QEJ82222	QEJ82222
QEJ82221.1		QEJ82221	QEJ82221
QEJ82220.1		QEJ82220	QEJ82220
QEJ82219.1		QEJ82219	QEJ82219
QEJ82218.1		QEJ82218	QEJ82218
QEJ82217.1		QEJ82217	QEJ82217
QEJ82216.1		QEJ82216	QEJ82216
QEJ82215.1		QEJ82215	QEJ82215
QEJ82214.1		QEJ82214	QEJ82214
QEJ82213.1		QEJ82213	QEJ82213
5ZVK_C		5ZVK_C	5ZVK_C
5ZVK_B		5ZVK_B	5ZVK_B
5ZVK_A		5ZVK_A	5ZVK_A
QDP16215.1	013	QDP16215	QDP16215
QDP16214.1	013	QDP16214	QDP16214
QDP16213.1	013	QDP16213	QDP16213
QDP16212.1	013	QDP16212	QDP16212
QDP16211.1	013	QDP16211	QDP16211
QDP16210.1	013	QDP16210	QDP16210
QDP16209.1	013	QDP16209	QDP16209
QDP16208.1	013	QDP16208	QDP16208
QDP16207.1	013	QDP16207	QDP16207
QDP16206.1	013	QDP16206	QDP16206
QDP16205.1	013	QDP16205	QDP16205
QDP16204.1	016	QDP16204	QDP16204
QDP16203.1	016	QDP16203	QDP16203
QDP16202.1	016	QDP16202	QDP16202
QDP16201.1	016	QDP16201	QDP16201
QDP16200.1	016	QDP16200	QDP16200
QDP16199.1	016	QDP16199	QDP16199
QDP16198.1	016	QDP16198	QDP16198
QDP16197.1	016	QDP16197	QDP16197
QDP16196.1	016	QDP16196	QDP16196
QDP16195.1	016	QDP16195	QDP16195
QDP16194.1	016	QDP16194	QDP16194
6J11_C		6J11_C	6J11_C
6J11_B		6J11_B	6J11_B
6J11_A		6J11_A	6J11_A
QDI73608.1	NRCE-HKU270	QDI73608	QDI73608
QDI73616.1	NRCE-HKU270	QDI73616	QDI73616
QDI73615.1	NRCE-HKU270	QDI73615	QDI73615
QDI73614.1	NRCE-HKU270	QDI73614	QDI73614
QDI73613.1	NRCE-HKU270	QDI73613	QDI73613
QDI73612.1	NRCE-HKU270	QDI73612	QDI73612
QDI73611.1	NRCE-HKU270	QDI73611	QDI73611
QDI73610.1	NRCE-HKU270	QDI73610	QDI73610
QDI73609.1	NRCE-HKU270	QDI73609	QDI73609
QDI73607.1	NRCE-HKU270	QDI73607	QDI73607
QBM11756.1	camel/MERS/Amibara/126/2017	QBM11756	QBM11756
QBM11755.1	camel/MERS/Amibara/126/2017	QBM11755	QBM11755
QBM11754.1	camel/MERS/Amibara/126/2017	QBM11754	QBM11754
QBM11753.1	camel/MERS/Amibara/126/2017	QBM11753	QBM11753
QBM11752.1	camel/MERS/Amibara/126/2017	QBM11752	QBM11752
QBM11751.1	camel/MERS/Amibara/126/2017	QBM11751	QBM11751
QBM11750.1	camel/MERS/Amibara/126/2017	QBM11750	QBM11750
QBM11749.1	camel/MERS/Amibara/126/2017	QBM11749	QBM11749
QBM11748.1	camel/MERS/Amibara/126/2017	QBM11748	QBM11748
QBM11747.1	camel/MERS/Amibara/126/2017	QBM11747	QBM11747
QBM11746.1	camel/MERS/Amibara/126/2017	QBM11746	QBM11746
QBM11745.1	camel/MERS/Amibara/118/2017	QBM11745	QBM11745
QBM11744.1	camel/MERS/Amibara/118/2017	QBM11744	QBM11744
QBM11743.1	camel/MERS/Amibara/118/2017	QBM11743	QBM11743
QBM11742.1	camel/MERS/Amibara/118/2017	QBM11742	QBM11742
QBM11741.1	camel/MERS/Amibara/118/2017	QBM11741	QBM11741
QBM11740.1	camel/MERS/Amibara/118/2017	QBM11740	QBM11740
QBM11739.1	camel/MERS/Amibara/118/2017	QBM11739	QBM11739
QBM11738.1	camel/MERS/Amibara/118/2017	QBM11738	QBM11738
QBM11737.1	camel/MERS/Amibara/118/2017	QBM11737	QBM11737
QBM11736.1	camel/MERS/Amibara/118/2017	QBM11736	QBM11736
QBM11735.1	camel/MERS/Amibara/118/2017	QBM11735	QBM11735
5ZUB_A		5ZUB_A	5ZUB_A
5ZUA_A		5ZUA_A	5ZUA_A
5ZU9_A		5ZU9_A	5ZU9_A
5ZU7_A		5ZU7_A	5ZU7_A
QCZ25057.1	UT-IVO-Mers1	QCZ25057	QCZ25057
QCZ25056.1	UT-IVO-Mers2	QCZ25056	QCZ25056
QCZ25055.1	UT-IVO-Mers3	QCZ25055	QCZ25055
QCZ25054.1	UT-IVO-Mers4	QCZ25054	QCZ25054
QCZ25053.1	UT-IVO-Mers5	QCZ25053	QCZ25053
AUN86968.1	MERSCoV/KE552	AUN86968	AUN86968
AUN86967.1	MERSCoV/KE293	AUN86967	AUN86967
AUN86966.1	MERSCoV/KE290	AUN86966	AUN86966
QCQ29082.1	KNIH/002_05_2015	QCQ29082	QCQ29082
QCQ29081.1	KNIH/002_05_2015	QCQ29081	QCQ29081
QCQ29080.1	KNIH/002_05_2015	QCQ29080	QCQ29080
QCQ29079.1	KNIH/002_05_2015	QCQ29079	QCQ29079
QCQ29078.1	KNIH/002_05_2015	QCQ29078	QCQ29078
QCQ29077.1	KNIH/002_05_2015	QCQ29077	QCQ29077
QCQ29076.1	KNIH/002_05_2015	QCQ29076	QCQ29076
QCQ29075.1	KNIH/002_05_2015	QCQ29075	QCQ29075
QCQ29074.1	KNIH/002_05_2015	QCQ29074	QCQ29074
QCQ29073.1	KNIH/002_05_2015	QCQ29073	QCQ29073
QCQ28836.1	44	QCQ28836	QCQ28836
QCQ28835.1	42	QCQ28835	QCQ28835
QCQ28834.1	41	QCQ28834	QCQ28834
QCQ28833.1	40	QCQ28833	QCQ28833
QCQ28832.1	37	QCQ28832	QCQ28832
QCQ28831.1	30	QCQ28831	QCQ28831
QCQ28830.1	26	QCQ28830	QCQ28830
QCQ28829.1	24	QCQ28829	QCQ28829
QCQ28828.1	19	QCQ28828	QCQ28828
QCI31488.1	KSA_1723	QCI31488	QCI31488
QCI31487.1	KSA_1723	QCI31487	QCI31487
QCI31486.1	KSA_1723	QCI31486	QCI31486
QCI31485.1	KSA_1723	QCI31485	QCI31485
QCI31484.1	KSA_1723	QCI31484	QCI31484
QCI31483.1	KSA_1723	QCI31483	QCI31483
QCI31482.1	KSA_1723	QCI31482	QCI31482
QCI31481.1	KSA_1723	QCI31481	QCI31481
QCI31480.1	KSA_1723	QCI31480	QCI31480
QCI31479.1	KSA_1723	QCI31479	QCI31479
QCI31478.1	KSA_1723	QCI31478	QCI31478
QCI31477.1	KSA_1722	QCI31477	QCI31477
QCI31476.1	KSA_1722	QCI31476	QCI31476
QCI31475.1	KSA_1722	QCI31475	QCI31475
QCI31474.1	KSA_1722	QCI31474	QCI31474
QCI31473.1	KSA_1722	QCI31473	QCI31473
QCI31472.1	KSA_1722	QCI31472	QCI31472
QCI31471.1	KSA_1722	QCI31471	QCI31471
QCI31470.1	KSA_1722	QCI31470	QCI31470
QCI31469.1	KSA_1722	QCI31469	QCI31469
QCI31468.1	KSA_1722	QCI31468	QCI31468
QCI31467.1	KSA_1722	QCI31467	QCI31467
AWF93657.1	MERSCoV/camel/Egypt/NC3986/2016	AWF93657	AWF93657
AWF93656.1	MERSCoV/camel/Egypt/NC3978/2016	AWF93656	AWF93656
AWF93655.1	MERSCoV/goat/Egypt/3893/2016	AWF93655	AWF93655
AWF93654.1	MERSCoV/goat/Egypt/3850/2016	AWF93654	AWF93654
AWF93653.1	MERSCoV/camel/Egypt/NC2217/2015	AWF93653	AWF93653
AWF93652.1	MERSCoV/cattle/Egypt/2257/2015	AWF93652	AWF93652
AWF93651.1	MERSCoV/goat/Egypt/2284/2015	AWF93651	AWF93651
AWF93650.1	MERSCoV/donkey/Egypt/2213/2015	AWF93650	AWF93650
AYO86707.1	Hu/Riyadh-KSA-008D3N/2015	AYO86707	AYO86707
AYO86706.1	Hu/Riyadh-KSA-008D3N/2015	AYO86706	AYO86706
AYO86705.1	Hu/Riyadh-KSA-008D3N/2015	AYO86705	AYO86705
AYO86704.1	Hu/Riyadh-KSA-008D3N/2015	AYO86704	AYO86704
AYO86703.1	Hu/Riyadh-KSA-008D3N/2015	AYO86703	AYO86703
AYO86702.1	Hu/Riyadh-KSA-008D3N/2015	AYO86702	AYO86702
AYO86701.1	Hu/Riyadh-KSA-008D3N/2015	AYO86701	AYO86701
AYO86700.1	Hu/Riyadh-KSA-008D3N/2015	AYO86700	AYO86700
AYO86699.1	Hu/Riyadh-KSA-008D3N/2015	AYO86699	AYO86699
AYO86698.1	Hu/Riyadh-KSA-008D3N/2015	AYO86698	AYO86698
AYO86697.1	Hu/Riyadh-KSA-008D3N/2015	AYO86697	AYO86697
6G13_D		6G13_D	6G13_D
6G13_C		6G13_C	6G13_C
6G13_B		6G13_B	6G13_B
6G13_A		6G13_A	6G13_A
QBF80619.1		QBF80619	QBF80619
QBF80618.1		QBF80618	QBF80618
QBF80617.1		QBF80617	QBF80617
QBF80616.1		QBF80616	QBF80616
QBF80615.1		QBF80615	QBF80615
QBF80614.1		QBF80614	QBF80614
QBF80613.1		QBF80613	QBF80613
QBF80612.1		QBF80612	QBF80612
QBF80611.1		QBF80611	QBF80611
QBF80610.1		QBF80610	QBF80610
QBF80609.1		QBF80609	QBF80609
QBF80608.1		QBF80608	QBF80608
QBF80607.1		QBF80607	QBF80607
QBF80606.1		QBF80606	QBF80606
QBF80605.1		QBF80605	QBF80605
QBF80604.1		QBF80604	QBF80604
QBF80603.1		QBF80603	QBF80603
QBF80602.1		QBF80602	QBF80602
QBF80601.1		QBF80601	QBF80601
QBF80600.1		QBF80600	QBF80600
QBF80599.1		QBF80599	QBF80599
QBF80598.1		QBF80598	QBF80598
QBF80597.1		QBF80597	QBF80597
QBF80596.1		QBF80596	QBF80596
QBF80595.1		QBF80595	QBF80595
QBF80594.1		QBF80594	QBF80594
QBF80593.1		QBF80593	QBF80593
QBF80592.1		QBF80592	QBF80592
QBF80591.1		QBF80591	QBF80591
QBF80590.1		QBF80590	QBF80590
QBF80589.1		QBF80589	QBF80589
QBF80588.1		QBF80588	QBF80588
QBF80587.1		QBF80587	QBF80587
QBF80586.1		QBF80586	QBF80586
QBF80585.1		QBF80585	QBF80585
QBF80584.1		QBF80584	QBF80584
QBF80583.1		QBF80583	QBF80583
QBF80582.1		QBF80582	QBF80582
QBF80581.1		QBF80581	QBF80581
QBF80580.1		QBF80580	QBF80580
QBF80579.1		QBF80579	QBF80579
QBF80578.1		QBF80578	QBF80578
QBF80577.1		QBF80577	QBF80577
QBF80576.1		QBF80576	QBF80576
QBF80575.1		QBF80575	QBF80575
QBF80574.1		QBF80574	QBF80574
QBF80573.1		QBF80573	QBF80573
QBF80572.1		QBF80572	QBF80572
QBF80571.1		QBF80571	QBF80571
QBF80570.1		QBF80570	QBF80570
QBF80569.1		QBF80569	QBF80569
QBF80568.1		QBF80568	QBF80568
QBF80567.1		QBF80567	QBF80567
QBF80566.1		QBF80566	QBF80566
QBF80565.1		QBF80565	QBF80565
QBF80564.1		QBF80564	QBF80564
QBF80563.1		QBF80563	QBF80563
QBF80562.1		QBF80562	QBF80562
QBF80561.1		QBF80561	QBF80561
QBF80560.1		QBF80560	QBF80560
QBF80559.1		QBF80559	QBF80559
QBF80558.1		QBF80558	QBF80558
QBF80557.1		QBF80557	QBF80557
QBF80556.1		QBF80556	QBF80556
QBF80555.1		QBF80555	QBF80555
QBF80554.1		QBF80554	QBF80554
QBF80553.1		QBF80553	QBF80553
QBF80552.1		QBF80552	QBF80552
QBF80551.1		QBF80551	QBF80551
QBF80550.1		QBF80550	QBF80550
QBF80549.1		QBF80549	QBF80549
QBF80548.1		QBF80548	QBF80548
QBF80547.1		QBF80547	QBF80547
QBF80546.1		QBF80546	QBF80546
